Elapsed Time[s]	Write 0 [A]	
0.0634	0.710	
0.0636	0.711	
0.0638	0.710	
0.0640	0.711	
0.0642	0.710	
0.0644	0.710	
0.0646	0.711	
0.0648	0.710	
0.0650	0.711	
0.0652	0.710	
0.0654	0.710	
0.0656	0.710	
0.0658	0.711	
0.0660	0.712	
0.0662	0.710	
0.0664	0.710	
0.0666	0.710	
0.0668	0.711	
0.0670	0.710	
0.0672	0.710	
0.0674	0.710	
0.0676	0.710	
0.0678	0.710	
0.0680	0.711	
0.0682	0.711	
0.0684	0.711	
0.0686	0.711	
0.0688	0.711	
0.0690	0.711	
0.0692	0.711	
0.0694	0.711	
0.0696	0.711	
0.0698	0.711	
0.0700	0.711	
0.0702	0.711	
0.0704	0.710	
0.0706	0.711	
0.0708	0.711	
0.0710	0.711	
0.0712	0.711	
0.0714	0.711	
0.0716	0.712	
0.0718	0.710	
0.0720	0.711	
0.0722	0.710	
0.0724	0.711	
0.0726	0.711	
0.0728	0.710	
0.0730	0.710	
0.0732	0.710	
0.0734	0.710	
0.0736	0.711	
0.0738	0.710	
0.0740	0.710	
0.0742	0.710	
0.0744	0.710	
0.0746	0.710	
0.0748	0.709	
0.0750	0.709	
0.0752	0.710	
0.0754	0.710	
0.0756	0.710	
0.0758	0.710	
0.0760	0.710	
0.0762	0.709	
0.0764	0.710	
0.0766	0.710	
0.0768	0.710	
0.0770	0.710	
0.0772	0.708	
0.0774	0.710	
0.0776	0.710	
0.0778	0.711	
0.0780	0.710	
0.0782	0.711	
0.0784	0.710	
0.0786	0.710	
0.0788	0.709	
0.0790	0.711	
0.0792	0.711	
0.0794	0.710	
0.0796	0.710	
0.0798	0.708	
0.0800	0.710	
0.0802	0.710	
0.0804	0.711	
0.0806	0.710	
0.0808	0.709	
0.0810	0.710	
0.0812	0.710	
0.0814	0.710	
0.0816	0.710	
0.0818	0.710	
0.0820	0.711	
0.0822	0.709	
0.0824	0.711	
0.0826	0.710	
0.0828	0.710	
0.0830	0.710	
0.0832	0.711	
0.0834	0.710	
0.0836	0.710	
0.0838	0.711	
0.0840	0.710	
0.0842	0.710	
0.0844	0.708	
0.0846	0.710	
0.0848	0.710	
0.0850	0.711	
0.0852	0.709	
0.0854	0.708	
0.0856	0.710	
0.0858	0.710	
0.0860	0.709	
0.0862	0.710	
0.0864	0.710	
0.0866	0.710	
0.0868	0.711	
0.0870	0.710	
0.0872	0.710	
0.0874	0.710	
0.0876	0.710	
0.0878	0.711	
0.0880	0.710	
0.0882	0.711	
0.0884	0.710	
0.0886	0.711	
0.0888	0.710	
0.0890	0.711	
0.0892	0.710	
0.0894	0.710	
0.0896	0.711	
0.0898	0.710	
0.0900	0.710	
0.0902	0.711	
0.0904	0.710	
0.0906	0.711	
0.0908	0.711	
0.0910	0.711	
0.0912	0.710	
0.0914	0.711	
0.0916	0.710	
0.0918	0.710	
0.0920	0.711	
0.0922	0.710	
0.0924	0.710	
0.0926	0.711	
0.0928	0.712	
0.0930	0.709	
0.0932	0.709	
0.0934	0.711	
0.0936	0.709	
0.0938	0.710	
0.0940	0.711	
0.0942	0.711	
0.0944	0.710	
0.0946	0.709	
0.0948	0.710	
0.0950	0.710	
0.0952	0.711	
0.0954	0.709	
0.0956	0.710	
0.0958	0.710	
0.0960	0.709	
0.0962	0.710	
0.0964	0.709	
0.0966	0.710	
0.0968	0.709	
0.0970	0.710	
0.0972	0.711	
0.0974	0.710	
0.0976	0.711	
0.0978	0.710	
0.0980	0.710	
0.0982	0.709	
0.0984	0.710	
0.0986	0.710	
0.0988	0.710	
0.0990	0.710	
0.0992	0.710	
0.0994	0.710	
0.0996	0.710	
0.0998	0.710	
0.1000	0.709	
0.1002	0.710	
0.1004	0.710	
0.1006	0.710	
0.1008	0.708	
0.1010	0.710	
0.1012	0.710	
0.1014	0.710	
0.1016	0.710	
0.1018	0.710	
0.1020	0.710	
0.1022	0.710	
0.1024	0.710	
0.1026	0.710	
0.1028	0.710	
0.1030	0.711	
0.1032	0.709	
0.1034	0.712	
0.1036	0.710	
0.1038	0.710	
0.1040	0.711	
0.1042	0.710	
0.1044	0.710	
0.1046	0.710	
0.1048	0.710	
0.1050	0.711	
0.1052	0.710	
0.1054	0.710	
0.1056	0.709	
0.1058	0.710	
0.1060	0.710	
0.1062	0.711	
0.1064	0.710	
0.1066	0.710	
0.1068	0.711	
0.1070	0.710	
0.1072	0.710	
0.1074	0.711	
0.1076	0.710	
0.1078	0.710	
0.1080	0.710	
0.1082	0.710	
0.1084	0.710	
0.1086	0.710	
0.1088	0.710	
0.1090	0.710	
0.1092	0.710	
0.1094	0.710	
0.1096	0.711	
0.1098	0.710	
0.1100	0.711	
0.1102	0.710	
0.1104	0.711	
0.1106	0.710	
0.1108	0.711	
0.1110	0.710	
0.1112	0.710	
0.1114	0.710	
0.1116	0.710	
0.1118	0.710	
0.1120	0.711	
0.1122	0.710	
0.1124	0.709	
0.1126	0.710	
0.1128	0.710	
0.1130	0.710	
0.1132	0.710	
0.1134	0.710	
0.1136	0.710	
0.1138	0.710	
0.1140	0.711	
0.1142	0.710	
0.1144	0.710	
0.1146	0.711	
0.1148	0.710	
0.1150	0.711	
0.1152	0.710	
0.1154	0.709	
0.1156	0.711	
0.1158	0.709	
0.1160	0.710	
0.1162	0.711	
0.1164	0.709	
0.1166	0.710	
0.1168	0.711	
0.1170	0.710	
0.1172	0.710	
0.1174	0.710	
0.1176	0.711	
0.1178	0.710	
0.1180	0.709	
0.1182	0.710	
0.1184	0.710	
0.1186	0.710	
0.1188	0.710	
0.1190	0.710	
0.1192	0.710	
0.1194	0.710	
0.1196	0.709	
0.1198	0.710	
0.1200	0.711	
0.1202	0.710	
0.1204	0.710	
0.1206	0.710	
0.1208	0.710	
0.1210	0.710	
0.1212	0.710	
0.1214	0.710	
0.1216	0.710	
0.1218	0.710	
0.1220	0.710	
0.1222	0.710	
0.1224	0.710	
0.1226	0.710	
0.1228	0.710	
0.1230	0.710	
0.1232	0.711	
0.1234	0.710	
0.1236	0.710	
0.1238	0.710	
0.1240	0.711	
0.1242	0.710	
0.1244	0.710	
0.1246	0.710	
0.1248	0.710	
0.1250	0.710	
0.1252	0.709	
0.1254	0.710	
0.1256	0.710	
0.1258	0.710	
0.1260	0.711	
0.1262	0.710	
0.1264	0.710	
0.1266	0.710	
0.1268	0.711	
0.1270	0.710	
0.1272	0.709	
0.1274	0.710	
0.1276	0.710	
0.1278	0.709	
0.1280	0.710	
0.1282	0.710	
0.1284	0.710	
0.1286	0.710	
0.1288	0.710	
0.1290	0.710	
0.1292	0.711	
0.1294	0.710	
0.1296	0.710	
0.1298	0.710	
0.1300	0.711	
0.1302	0.710	
0.1304	0.710	
0.1306	0.710	
0.1308	0.710	
0.1310	0.710	
0.1312	0.710	
0.1314	0.710	
0.1316	0.710	
0.1318	0.710	
0.1320	0.709	
0.1322	0.710	
0.1324	0.711	
0.1326	0.711	
0.1328	0.710	
0.1330	0.711	
0.1332	0.710	
0.1334	0.710	
0.1336	0.709	
0.1338	0.710	
0.1340	0.711	
0.1342	0.710	
0.1344	0.710	
0.1346	0.711	
0.1348	0.710	
0.1350	0.710	
0.1352	0.710	
0.1354	0.710	
0.1356	0.711	
0.1358	0.711	
0.1360	0.710	
0.1362	0.710	
0.1364	0.710	
0.1366	0.710	
0.1368	0.710	
0.1370	0.707	
0.1372	0.710	
0.1374	0.712	
0.1376	0.710	
0.1378	0.710	
0.1380	0.710	
0.1382	0.710	
0.1384	0.709	
0.1386	0.709	
0.1388	0.710	
0.1390	0.710	
0.1392	0.710	
0.1394	0.709	
0.1396	0.710	
0.1398	0.710	
0.1400	0.710	
0.1402	0.710	
0.1404	0.710	
0.1406	0.708	
0.1408	0.710	
0.1410	0.711	
0.1412	0.712	
0.1414	0.708	
0.1416	0.710	
0.1418	0.710	
0.1420	0.708	
0.1422	0.710	
0.1424	0.710	
0.1426	0.710	
0.1428	0.710	
0.1430	0.710	
0.1432	0.710	
0.1434	0.711	
0.1436	0.710	
0.1438	0.710	
0.1440	0.710	
0.1442	0.710	
0.1444	0.710	
0.1446	0.710	
0.1448	0.710	
0.1450	0.709	
0.1452	0.710	
0.1454	0.708	
0.1456	0.710	
0.1458	0.711	
0.1460	0.710	
0.1462	0.709	
0.1464	0.710	
0.1466	0.710	
0.1468	0.711	
0.1470	0.710	
0.1472	0.711	
0.1474	0.710	
0.1476	0.710	
0.1478	0.710	
0.1480	0.710	
0.1482	0.710	
0.1484	0.711	
0.1486	0.710	
0.1488	0.710	
0.1490	0.710	
0.1492	0.710	
0.1494	0.711	
0.1496	0.710	
0.1498	0.710	
0.1500	0.710	
0.1502	0.710	
0.1504	0.710	
0.1506	0.710	
0.1508	0.710	
0.1510	0.710	
0.1512	0.710	
0.1514	0.709	
0.1516	0.710	
0.1518	0.709	
0.1520	0.710	
0.1522	0.710	
0.1524	0.709	
0.1526	0.712	
0.1528	0.709	
0.1530	0.710	
0.1532	0.710	
0.1534	0.710	
0.1536	0.710	
0.1538	0.709	
0.1540	0.710	
0.1542	0.710	
0.1544	0.710	
0.1546	0.709	
0.1548	0.710	
0.1550	0.710	
0.1552	0.711	
0.1554	0.709	
0.1556	0.711	
0.1558	0.710	
0.1560	0.710	
0.1562	0.710	
0.1564	0.710	
0.1566	0.711	
0.1568	0.710	
0.1570	0.710	
0.1572	0.709	
0.1574	0.710	
0.1576	0.710	
0.1578	0.710	
0.1580	0.710	
0.1582	0.710	
0.1584	0.708	
0.1586	0.710	
0.1588	0.710	
0.1590	0.710	
0.1592	0.710	
0.1594	0.710	
0.1596	0.710	
0.1598	0.710	
0.1600	0.710	
0.1602	0.710	
0.1604	0.710	
0.1606	0.710	
0.1608	0.710	
0.1610	0.710	
0.1612	0.710	
0.1614	0.710	
0.1616	0.710	
0.1618	0.710	
0.1620	0.712	
0.1622	0.710	
0.1624	0.710	
0.1626	0.710	
0.1628	0.710	
0.1630	0.710	
0.1632	0.710	
0.1634	0.710	
0.1636	0.710	
0.1638	0.710	
0.1640	0.710	
0.1642	0.710	
0.1644	0.710	
0.1646	0.711	
0.1648	0.711	
0.1650	0.710	
0.1652	0.709	
0.1654	0.711	
0.1656	0.710	
0.1658	0.710	
0.1660	0.710	
0.1662	0.711	
0.1664	0.710	
0.1666	0.711	
0.1668	0.712	
0.1670	0.710	
0.1672	0.710	
0.1674	0.710	
0.1676	0.710	
0.1678	0.710	
0.1680	0.711	
0.1682	0.710	
0.1684	0.711	
0.1686	0.710	
0.1688	0.710	
0.1690	0.710	
0.1692	0.711	
0.1694	0.710	
0.1696	0.710	
0.1698	0.711	
0.1700	0.711	
0.1702	0.710	
0.1704	0.711	
0.1706	0.711	
0.1708	0.710	
0.1710	0.710	
0.1712	0.710	
0.1714	0.710	
0.1716	0.710	
0.1718	0.710	
0.1720	0.710	
0.1722	0.709	
0.1724	0.711	
0.1726	0.710	
0.1728	0.710	
0.1730	0.711	
0.1732	0.710	
0.1734	0.710	
0.1736	0.710	
0.1738	0.710	
0.1740	0.710	
0.1742	0.709	
0.1744	0.710	
0.1746	0.709	
0.1748	0.710	
0.1750	0.711	
0.1752	0.711	
0.1754	0.712	
0.1756	0.710	
0.1758	0.711	
0.1760	0.708	
0.1762	0.710	
0.1764	0.710	
0.1766	0.710	
0.1768	0.710	
0.1770	0.710	
0.1772	0.710	
0.1774	0.711	
0.1776	0.710	
0.1778	0.709	
0.1780	0.710	
0.1782	0.710	
0.1784	0.710	
0.1786	0.710	
0.1788	0.708	
0.1790	0.711	
0.1792	0.710	
0.1794	0.708	
0.1796	0.709	
0.1798	0.710	
0.1800	0.710	
0.1802	0.710	
0.1804	0.709	
0.1806	0.710	
0.1808	0.710	
0.1810	0.710	
0.1812	0.710	
0.1814	0.708	
0.1816	0.710	
0.1818	0.710	
0.1820	0.710	
0.1822	0.710	
0.1824	0.710	
0.1826	0.710	
0.1828	0.710	
0.1830	0.710	
0.1832	0.710	
0.1834	0.710	
0.1836	0.710	
0.1838	0.711	
0.1840	0.710	
0.1842	0.708	
0.1844	0.710	
0.1846	0.710	
0.1848	0.710	
0.1850	0.710	
0.1852	0.711	
0.1854	0.710	
0.1856	0.712	
0.1858	0.710	
0.1860	0.710	
0.1862	0.710	
0.1864	0.709	
0.1866	0.711	
0.1868	0.710	
0.1870	0.710	
0.1872	0.710	
0.1874	0.710	
0.1876	0.710	
0.1878	0.710	
0.1880	0.710	
0.1882	0.710	
0.1884	0.710	
0.1886	0.711	
0.1888	0.710	
0.1890	0.713	
0.1892	0.710	
0.1894	0.710	
0.1896	0.711	
0.1898	0.710	
0.1900	0.711	
0.1902	0.711	
0.1904	0.710	
0.1906	0.710	
0.1908	0.710	
0.1910	0.710	
0.1912	0.710	
0.1914	0.712	
0.1916	0.710	
0.1918	0.710	
0.1920	0.708	
0.1922	0.711	
0.1924	0.711	
0.1926	0.710	
0.1928	0.710	
0.1930	0.711	
0.1932	0.710	
0.1934	0.710	
0.1936	0.710	
0.1938	0.710	
0.1940	0.710	
0.1942	0.710	
0.1944	0.710	
0.1946	0.710	
0.1948	0.709	
0.1950	0.709	
0.1952	0.709	
0.1954	0.709	
0.1956	0.708	
0.1958	0.710	
0.1960	0.710	
0.1962	0.710	
0.1964	0.709	
0.1966	0.710	
0.1968	0.711	
0.1970	0.710	
0.1972	0.711	
0.1974	0.710	
0.1976	0.711	
0.1978	0.710	
0.1980	0.710	
0.1982	0.710	
0.1984	0.711	
0.1986	0.710	
0.1988	0.710	
0.1990	0.709	
0.1992	0.710	
0.1994	0.710	
0.1996	0.710	
0.1998	0.710	
0.2000	0.710	
0.2002	0.711	
0.2004	0.711	
0.2006	0.708	
0.2008	0.710	
0.2010	0.710	
0.2012	0.710	
0.2014	0.710	
0.2016	0.710	
0.2018	0.710	
0.2020	0.710	
0.2022	0.710	
0.2024	0.710	
0.2026	0.709	
0.2028	0.710	
0.2030	0.710	
0.2032	0.710	
0.2034	0.710	
0.2036	0.710	
0.2038	0.710	
0.2040	0.710	
0.2042	0.710	
0.2044	0.710	
0.2046	0.710	
0.2048	0.710	
0.2050	0.708	
0.2052	0.710	
0.2054	0.710	
0.2056	0.710	
0.2058	0.710	
0.2060	0.710	
0.2062	0.710	
0.2064	0.712	
0.2066	0.710	
0.2068	0.709	
0.2070	0.710	
0.2072	0.710	
0.2074	0.710	
0.2076	0.711	
0.2078	0.709	
0.2080	0.710	
0.2082	0.710	
0.2084	0.710	
0.2086	0.710	
0.2088	0.710	
0.2090	0.710	
0.2092	0.710	
0.2094	0.710	
0.2096	0.711	
0.2098	0.710	
0.2100	0.711	
0.2102	0.710	
0.2104	0.711	
0.2106	0.710	
0.2108	0.710	
0.2110	0.710	
0.2112	0.710	
0.2114	0.710	
0.2116	0.710	
0.2118	0.710	
0.2120	0.710	
0.2122	0.710	
0.2124	0.710	
0.2126	0.710	
0.2128	0.710	
0.2130	0.710	
0.2132	0.710	
0.2134	0.710	
0.2136	0.710	
0.2138	0.708	
0.2140	0.710	
0.2142	0.712	
0.2144	0.710	
0.2146	0.710	
0.2148	0.711	
0.2150	0.710	
0.2152	0.709	
0.2154	0.710	
0.2156	0.708	
0.2158	0.709	
0.2160	0.709	
0.2162	0.710	
0.2164	0.710	
0.2166	0.710	
0.2168	0.710	
0.2170	0.710	
0.2172	0.711	
0.2174	0.710	
0.2176	0.710	
0.2178	0.710	
0.2180	0.710	
0.2182	0.711	
0.2184	0.710	
0.2186	0.709	
0.2188	0.710	
0.2190	0.709	
0.2192	0.710	
0.2194	0.710	
0.2196	0.709	
0.2198	0.710	
0.2200	0.710	
0.2202	0.710	
0.2204	0.710	
0.2206	0.710	
0.2208	0.710	
0.2210	0.709	
0.2212	0.711	
0.2214	0.710	
0.2216	0.710	
0.2218	0.710	
0.2220	0.710	
0.2222	0.710	
0.2224	0.710	
0.2226	0.710	
0.2228	0.710	
0.2230	0.709	
0.2232	0.709	
0.2234	0.710	
0.2236	0.712	
0.2238	0.710	
0.2240	0.709	
0.2242	0.710	
0.2244	0.710	
0.2246	0.709	
0.2248	0.710	
0.2250	0.709	
0.2252	0.710	
0.2254	0.709	
0.2256	0.711	
0.2258	0.710	
0.2260	0.711	
0.2262	0.710	
0.2264	0.710	
0.2266	0.710	
0.2268	0.710	
0.2270	0.710	
0.2272	0.710	
0.2274	0.710	
0.2276	0.710	
0.2278	0.710	
0.2280	0.710	
0.2282	0.710	
0.2284	0.710	
0.2286	0.711	
0.2288	0.710	
0.2290	0.710	
0.2292	0.710	
0.2294	0.710	
0.2296	0.710	
0.2298	0.708	
0.2300	0.710	
0.2302	0.710	
0.2304	0.710	
0.2306	0.710	
0.2308	0.710	
0.2310	0.710	
0.2312	0.710	
0.2314	0.710	
0.2316	0.710	
0.2318	0.710	
0.2320	0.710	
0.2322	0.708	
0.2324	0.710	
0.2326	0.710	
0.2328	0.712	
0.2330	0.710	
0.2332	0.709	
0.2334	0.709	
0.2336	0.710	
0.2338	0.710	
0.2340	0.708	
0.2342	0.710	
0.2344	0.711	
0.2346	0.711	
0.2348	0.709	
0.2350	0.710	
0.2352	0.710	
0.2354	0.708	
0.2356	0.710	
0.2358	0.711	
0.2360	0.711	
0.2362	0.710	
0.2364	0.710	
0.2366	0.710	
0.2368	0.710	
0.2370	0.709	
0.2372	0.710	
0.2374	0.708	
